&quot;1&quot;;&quot;1&quot;;&quot;Apple Jacks&quot;;&quot;1&quot;;&quot;366&quot;;&quot;88&quot;;&quot;2&quot;;&quot;433&quot;;&quot;0&quot;;&quot;2&quot;;&quot;44&quot;;&quot;cereal&quot;
&quot;2&quot;;&quot;1&quot;;&quot;100 Grand Bar&quot;;&quot;1&quot;;&quot;468&quot;;&quot;71&quot;;&quot;19&quot;;&quot;203&quot;;&quot;12&quot;;&quot;3&quot;;&quot;52&quot;;&quot;candy&quot;
&quot;3&quot;;&quot;1&quot;;&quot;Oscar Mayer Hot Dog&quot;;&quot;1&quot;;&quot;327&quot;;&quot;2&quot;;&quot;30&quot;;&quot;1025&quot;;&quot;56&quot;;&quot;11&quot;;&quot;2&quot;;&quot;beef frank&quot;
&quot;4&quot;;&quot;1&quot;;&quot;Soft Pretzel&quot;;&quot;1&quot;;&quot;338&quot;;&quot;69&quot;;&quot;3&quot;;&quot;1404&quot;;&quot;3&quot;;&quot;8&quot;;&quot;0&quot;;&quot;pretzel&quot;
&quot;5&quot;;&quot;1&quot;;&quot;Chessburger Plain&quot;;&quot;1&quot;;&quot;303&quot;;&quot;30&quot;;&quot;14&quot;;&quot;589&quot;;&quot;41&quot;;&quot;15&quot;;&quot;5&quot;;&quot;fast food&quot;
&quot;6&quot;;&quot;1&quot;;&quot;Beef Chimichanga&quot;;&quot;1&quot;;&quot;244&quot;;&quot;25&quot;;&quot;11&quot;;&quot;523&quot;;&quot;5&quot;;&quot;11&quot;;&quot;0&quot;;&quot;fast food&quot;
&quot;7&quot;;&quot;1&quot;;&quot;Egg Bagel&quot;;&quot;1&quot;;&quot;278&quot;;&quot;53&quot;;&quot;2&quot;;&quot;505&quot;;&quot;24&quot;;&quot;11&quot;;&quot;0&quot;;&quot;bread&quot;
&quot;8&quot;;&quot;1&quot;;&quot;Orange Juice&quot;;&quot;1&quot;;&quot;45&quot;;&quot;10&quot;;&quot;0&quot;;&quot;1&quot;;&quot;0&quot;;&quot;1&quot;;&quot;8&quot;;&quot;fruit juice&quot;
&quot;9&quot;;&quot;1&quot;;&quot;Fat Free Cream Cheese&quot;;&quot;1&quot;;&quot;105&quot;;&quot;8&quot;;&quot;1&quot;;&quot;702&quot;;&quot;12&quot;;&quot;16&quot;;&quot;5&quot;;&quot;cheese&quot;
&quot;10&quot;;&quot;1&quot;;&quot;Plain Yogurt&quot;;&quot;1&quot;;&quot;61&quot;;&quot;5&quot;;&quot;3&quot;;&quot;46&quot;;&quot;13&quot;;&quot;3&quot;;&quot;5&quot;;&quot;milk products&quot;
